lux,rain_raw,wind_speed,label
85000.0,0.01,1.2,0
82000.0,0.02,1.5,0
78000.0,0.03,1.8,0
70000.0,0.05,2.0,0
60000.0,0.08,2.3,0
50000.0,0.12,2.8,0
40000.0,0.20,3.5,1
30000.0,0.35,4.2,1
20000.0,0.55,5.0,1
10000.0,0.70,6.1,1
5000.0,0.80,7.0,1
2000.0,0.90,7.5,1
1000.0,0.95,8.0,1
500.0,0.98,8.5,1
200.0,0.99,9.0,1
80000.0,0.01,1.0,0
79000.0,0.01,1.1,0
77000.0,0.02,1.3,0
75000.0,0.03,1.4,0
73000.0,0.04,1.6,0
71000.0,0.05,1.7,0
68000.0,0.06,1.9,0
65000.0,0.08,2.2,0
61000.0,0.10,2.5,0
57000.0,0.13,2.7,0
52000.0,0.17,3.0,0
47000.0,0.22,3.4,1
42000.0,0.28,3.8,1
37000.0,0.35,4.3,1
32000.0,0.42,4.9,1
27000.0,0.50,5.4,1
22000.0,0.58,5.9,1
17000.0,0.65,6.4,1
13000.0,0.72,6.8,1
9000.0,0.80,7.2,1
6000.0,0.86,7.6,1
4000.0,0.91,8.0,1
3000.0,0.94,8.3,1
2500.0,0.96,8.5,1
2200.0,0.97,8.7,1
84000.0,0.01,0.9,0
83000.0,0.01,1.0,0
81000.0,0.02,1.2,0
80500.0,0.02,1.3,0
80000.0,0.02,1.4,0
79500.0,0.03,1.5,0
79000.0,0.03,1.6,0
78000.0,0.04,1.7,0
76000.0,0.05,1.9,0
74000.0,0.06,2.1,0
72000.0,0.08,2.3,0
69000.0,0.10,2.5,0
66000.0,0.13,2.8,0
62000.0,0.16,3.1,0
58000.0,0.20,3.4,1
54000.0,0.25,3.7,1
50000.0,0.30,4.0,1
45000.0,0.36,4.4,1
40000.0,0.43,4.8,1
35000.0,0.50,5.2,1
30000.0,0.57,5.6,1
25000.0,0.64,6.0,1
20000.0,0.71,6.4,1
16000.0,0.77,6.8,1
12000.0,0.82,7.1,1
8500.0,0.87,7.5,1
6500.0,0.91,7.8,1
5000.0,0.94,8.1,1
4000.0,0.96,8.3,1
3500.0,0.97,8.5,1
90000.0,0.00,0.5,0
88000.0,0.00,0.6,0
86000.0,0.01,0.8,0
85000.0,0.01,0.9,0
84000.0,0.01,1.0,0
83000.0,0.01,1.1,0
82000.0,0.02,1.2,0
81000.0,0.02,1.3,0
80000.0,0.02,1.4,0
78000.0,0.03,1.5,0
76000.0,0.04,1.6,0
74000.0,0.05,1.8,0
71000.0,0.07,2.0,0
68000.0,0.09,2.2,0
64000.0,0.12,2.5,0
60000.0,0.15,2.8,0
55000.0,0.19,3.1,0
49000.0,0.24,3.5,1
43000.0,0.30,3.9,1
37000.0,0.37,4.3,1
31000.0,0.45,4.8,1
25000.0,0.53,5.3,1
19000.0,0.61,5.8,1
14000.0,0.68,6.2,1
10000.0,0.75,6.6,1
7000.0,0.81,7.0,1
5000.0,0.86,7.4,1
3800.0,0.90,7.7,1
3000.0,0.93,8.0,1
